"Plot_name","Quadrat_corner","Species_or_type","Count","Phenophase","Date","Notes","Plot_event_ID","Sample_number1","Sample_number2"
"DPA-001","NE","Brassica nigra - Black mustard",43,"full leaf out",2022-02-23,"N/A",19,1,-9999
"DPA-001","NW","Brassica nigra - Black mustard",48,"full leaf out",2022-02-23,"N/A",19,1,-9999
"DPA-001","SE","Brassica nigra - Black mustard",14,"full leaf out",2022-02-23,"N/A",19,1,-9999
"DPA-001","SW","Brassica nigra - Black mustard",30,"full leaf out",2022-02-23,"N/A",19,1,-9999
"DPA-001","NE","Annual grass",2,"full leaf out",2022-02-23,"N/A",19,2,-9999
"DPA-001","SE","Annual grass",14,"full leaf out",2022-02-23,"N/A",19,2,-9999
"DPA-001","SW","Annual grass",7,"full leaf out",2022-02-23,"N/A",19,2,-9999
"DPA-001","NE","Silybum marianum - Milk thistle",2,"full leaf out",2022-02-23,"N/A",19,3,-9999
"DPA-001","NW","Silybum marianum - Milk thistle",1,"full leaf out",2022-02-23,"N/A",19,3,-9999
"DPA-001","SW","Silybum marianum - Milk thistle",2,"full leaf out",2022-02-23,"N/A",19,3,-9999
"DPA-001","NE","Erodium moschatum",2,"full leaf out",2022-02-23,"N/A",19,4,-9999
"DPA-001","SE","Erodium moschatum",13,"full leaf out",2022-02-23,"N/A",19,4,-9999
"DPA-001","SW","Erodium moschatum",9,"full leaf out",2022-02-23,"N/A",19,4,-9999
"SRB-001","NW","Avena barbata - Slender oat",2,"full leaf out",2022-02-24,"N/A",40,7,-9999
"SRB-001","NE","Erodium moschatum",2,"full leaf out",2022-02-24,"N/A",40,8,-9999
"SRB-001","SE","Erodium moschatum",7,"full leaf out",2022-02-24,"N/A",40,8,-9999
"SRB-001","SW","Erodium moschatum",1,"full leaf out",2022-02-24,"N/A",40,8,-9999
"SRB-001","NE","Amsinckia menziesii - Fiddleneck",20,"full leaf out",2022-02-24,"N/A",40,9,-9999
"SRB-001","NW","Amsinckia menziesii - Fiddleneck",15,"full leaf out",2022-02-24,"N/A",40,9,-9999
"SRB-001","SE","Amsinckia menziesii - Fiddleneck",23,"full leaf out",2022-02-24,"N/A",40,9,-9999
"SRB-001","SW","Amsinckia menziesii - Fiddleneck",28,"full leaf out",2022-02-24,"N/A",40,9,-9999
"SRB-001","NE","Bromus diandrus - Ripgut brome",24,"full leaf out",2022-02-24,"N/A",40,10,-9999
"SRB-001","NW","Bromus diandrus - Ripgut brome",33,"full leaf out",2022-02-24,"N/A",40,10,-9999
"SRB-001","SE","Bromus diandrus - Ripgut brome",18,"full leaf out",2022-02-24,"N/A",40,10,-9999
"SRB-001","SW","Bromus diandrus - Ripgut brome",16,"full leaf out",2022-02-24,"N/A",40,10,-9999
"SRA-001","NE","Bromus diandrus - Ripgut brome",25,"full leaf out",2022-02-24,"N/A",31,12,-9999
"SRA-001","NW","Bromus diandrus - Ripgut brome",50,"full leaf out",2022-02-24,"N/A",31,12,-9999
"SRA-001","SE","Bromus diandrus - Ripgut brome",48,"full leaf out",2022-02-24,"N/A",31,12,-9999
"SRA-001","SW","Bromus diandrus - Ripgut brome",50,"full leaf out",2022-02-24,"N/A",31,12,-9999
"SRB-004","NE","Annual grass",20,"full leaf out",2022-02-25,"N/A",61,16,-9999
"SRB-004","NW","Annual grass",32,"full leaf out",2022-02-25,"N/A",61,16,-9999
"SRB-004","SE","Annual grass",18,"full leaf out",2022-02-25,"N/A",61,16,-9999
"SRB-004","NE","Eschscholzia californica - California poppy",4,"full leaf out",2022-02-25,"N/A",61,17,-9999
"SRB-004","NW","Eschscholzia californica - California poppy",2,"full leaf out",2022-02-25,"N/A",61,17,-9999
"SRB-004","NW","Calandrinia menzieszii - Red maids",1,"full leaf out",2022-02-25,"N/A",61,22,-9999
"SRB-004","NE","Lupinus nanus - Sky lupine",6,"full leaf out",2022-02-25,"N/A",61,23,-9999
"SRB-004","SE","Lupinus nanus - Sky lupine",3,"full leaf out",2022-02-25,"N/A",61,23,-9999
"SRB-007","NE","Erodium cicutarium",6,"full leaf out",2022-03-01,"N/A",73,26,-9999
"SRB-007","NW","Erodium cicutarium",1,"full leaf out",2022-03-01,"N/A",73,26,-9999
"SRB-007","SE","Erodium cicutarium",10,"full leaf out",2022-03-01,"N/A",73,26,-9999
"SRB-007","SW","Erodium cicutarium",14,"full leaf out",2022-03-01,"N/A",73,26,-9999
"SRB-007","SE","Centaurea melitensis",2,"full leaf out",2022-03-01,"N/A",73,27,-9999
"SRB-007","SW","Centaurea melitensis",14,"full leaf out",2022-03-01,"N/A",73,27,-9999
"SRB-007","NE","Stipa pulchra - Purple needle grass",2,"full leaf out",2022-03-01,"N/A",73,28,-9999
"SRB-007","NE","Annual grass",10,"full leaf out",2022-03-01,"N/A",73,29,-9999
"SRB-007","NW","Annual grass",21,"full leaf out",2022-03-01,"N/A",73,29,-9999
"SRB-007","SE","Annual grass",19,"full leaf out",2022-03-01,"N/A",73,29,-9999
"SRB-007","SW","Annual grass",2,"full leaf out",2022-03-01,"N/A",73,29,-9999
"SRB-008","NE","Brassica nigra - Black mustard",34,"early leaf out",2022-03-01,"N/A",79,30,-9999
"SRB-008","NW","Brassica nigra - Black mustard",16,"early leaf out",2022-03-01,"N/A",79,30,-9999
"SRB-008","SE","Brassica nigra - Black mustard",20,"early leaf out",2022-03-01,"N/A",79,30,-9999
"SRB-008","SW","Brassica nigra - Black mustard",13,"early leaf out",2022-03-01,"N/A",79,30,-9999
"DPB-001","NE","Annual grass",24,"full leaf out",2022-02-23,"N/A",16,31,-9999
"DPB-001","NW","Annual grass",15,"full leaf out",2022-02-23,"N/A",16,31,-9999
"DPB-001","SE","Annual grass",20,"full leaf out",2022-02-23,"N/A",16,31,-9999
"DPB-001","SW","Annual grass",25,"full leaf out",2022-02-23,"N/A",16,31,-9999
"DPB-001","NE","Erodium moschatum",23,"full leaf out",2022-02-23,"N/A",16,32,-9999
"DPB-001","NW","Erodium moschatum",25,"full leaf out",2022-02-23,"N/A",16,32,-9999
"DPB-001","SE","Erodium moschatum",23,"full leaf out",2022-02-23,"N/A",16,32,-9999
"DPB-001","SW","Erodium moschatum",24,"full leaf out",2022-02-23,"N/A",16,32,-9999
"SRA-005","NE","Erodium sp.",6,"full leaf out",2022-02-24,"N/A",67,39,-9999
