dataset,level_1,level_2,level_3,fname,longitude,latitude
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_022,21.7716,-18.3886
MEYER-OKIN,npv,npv,dry grass,s3T1win_072,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry grass,s3T1win_073,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry grass,s3T1win_074,22.0099,-19.0776
SR,npv,UNKN-,UNKN-,SR0019_l1_06_npv,-120.04134,34.70292167
MEYER-OKIN,npv,litter,litter,S14T1din_006,22.3547,-25.8497
MEYER-OKIN,npv,litter,litter,S14T1din_005,22.3547,-25.8497
MEYER-OKIN,npv,npv,dry shrub,S13T1din_056,22.2607,-25.0681
MEYER-OKIN,npv,npv,dry shrub,S13T1din_055,22.2607,-25.0681
MEYER-OKIN,npv,litter,litter ,S13T1din_052,22.2607,-25.0681
MEYER-OKIN,npv,npv,dry shrub,S13T1din_049,22.2607,-25.0681
MEYER-OKIN,npv,npv,dry grass,s3T1win_071,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry shrub,S13T1din_048,22.2607,-25.0681
MEYER-OKIN,npv,litter,litter,s3T1win_103,22.0099,-19.0776
MEYER-OKIN,npv,litter,litter ,S13T1din_036,22.2607,-25.0681
MEYER-OKIN,npv,litter,litter ,S13T1din_035,22.2607,-25.0681
MEYER-OKIN,npv,litter,litter ,S13T1din_034,22.2607,-25.0681
SR,npv,UNKN-,UNKN-,SR0019_l2_05_npv,-120.0413683,34.70288333
MEYER-OKIN,npv,npv,dry grass,s3t3ind_000,22.0099,-19.0776
SR,npv,UNKN-,UNKN-,SR0019_l2_07_npv,-120.0413767,34.702925
MEYER-OKIN,npv,npv,dry grass,S13T1din_029,22.2607,-25.0681
MEYER-OKIN,npv,npv,stem,s3t3ind_009,22.0099,-19.0776
MEYER-OKIN,npv,npv,stem,s3t3ind_010,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry shrub,S13T1din_047,22.2607,-25.0681
MEYER-OKIN,npv,npv,dry grass,s3T1win_070,22.0099,-19.0776
SR,npv,,,SR0000_l3_01_npv,-120.0341517,34.693025
MEYER-OKIN,npv,npv,dry grass,S15T1din_007,20.6729,-26.8199
MEYER-OKIN,npv,npv,stem terminalia,s1t1ind_008,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t1ind_007,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t1ind_006,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,S15T1ind_040,20.6729,-26.8199
MEYER-OKIN,npv,litter,litter,S15T1ind_039,20.6729,-26.8199
MEYER-OKIN,npv,litter,litter,S15T1ind_038,20.6729,-26.8199
MEYER-OKIN,npv,litter,litter,S15T1ind_037,20.6729,-26.8199
MEYER-OKIN,npv,litter,litter,S15T1ind_036,20.6729,-26.8199
MEYER-OKIN,npv,npv,dry grass,s3T1win_045,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry grass,s3T1win_046,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry grass,s3T1win_047,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry grass,s3T1win_048,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry grass,s3T1win_049,22.0099,-19.0776
SR,npv,,,SR0000_l1_04_npv,-120.03376,34.69328167
SR,npv,,,SR0000_l1_01_npv,-120.033835,34.69315167
SR,npv,,,SR0000_l2_09_npv,-120.0336433,34.69258333
SR,npv,,,SR0000_l2_07_npv,-120.0337017,34.692675
MEYER-OKIN,npv,npv,dry grass,s3T1win_050,22.0099,-19.0776
SR,npv,,,SR0000_l2_03_npv,-120.0337733,34.69275667
SR,npv,,,SR0000_l3_09_npv,-120.03395,34.69307
SR,npv,,,SR0000_l3_05_npv,-120.0340533,34.69305
MEYER-OKIN,npv,npv,dry grass,S15T1din_013,20.6729,-26.8199
MEYER-OKIN,npv,npv,dry grass,S15T1din_008,20.6729,-26.8199
MEYER-OKIN,npv,npv,stem,s3t3ind_011,22.0099,-19.0776
MEYER-OKIN,npv,npv,dry grass,S13T1din_005,22.2607,-25.0681
MEYER-OKIN,npv,npv,dry grass,S13T1din_002,22.2607,-25.0681
MEYER-OKIN,npv,npv,dry grass,S13T1din_001,22.2607,-25.0681
MEYER-OKIN,npv,npv,dry grass,S12T3din_011,21.9163,-24.6304
MEYER-OKIN,npv,npv,dry grass,S12T3din_010,21.9163,-24.6304
MEYER-OKIN,npv,npv,dry grass,S12T3din_009,21.9163,-24.6304
MEYER-OKIN,npv,npv,dry grass,S12T3din_008,21.9163,-24.6304
MEYER-OKIN,npv,litter,stem,s4t2ind_030,21.8174,-19.5293
MEYER-OKIN,npv,litter,stem,s4t2ind_031,21.8174,-19.5293
SR,npv,UNKN-,UNKN-,SR0020_l2_13_npv,-120.042185,34.70336167
MEYER-OKIN,npv,litter,litter,s4t3ind_024,21.8174,-19.5293
MEYER-OKIN,npv,litter,litter,s4t3ind_025,21.8174,-19.5293
SR,npv,UNKN-,UNKN-,SR0020_l1_14_npv,-120.0422933,34.70327833
MEYER-OKIN,npv,npv,Baikiae plurijuga,s5t1ind_031,21.5742,-20.1019
SR,npv,UNKN-,UNKN-,SR0020_l1_16_npv,-120.04228,34.70329333
MEYER-OKIN,npv,litter,litter,s5t1ind_037,21.5742,-20.1019
MEYER-OKIN,npv,litter,litter,s5t2ind_009,21.5742,-20.1019
MEYER-OKIN,npv,litter,litter,s5t2ind_036,21.5742,-20.1019
MEYER-OKIN,npv,npv,dry grass,S5T31win_025,21.5742,-20.1019
MEYER-OKIN,npv,npv,dry grass,S5T31win_027,21.5742,-20.1019
MEYER-OKIN,npv,litter,litter,S5T31win_059,21.5742,-20.1019
MEYER-OKIN,npv,litter,litter,S5T31win_061,21.5742,-20.1019
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S5T31win_062,21.5742,-20.1019
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S5T31win_063,21.5742,-20.1019
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S5T31win_065,21.5742,-20.1019
SR,npv,UNKN-,UNKN-,SR0021_l1_05_npv,-120.0416167,34.70347833
MEYER-OKIN,npv,npv,dry grass,S12T3din_012,21.9163,-24.6304
MEYER-OKIN,npv,npv,stem terminalia,s1t1ind_009,21.7716,-18.3886
MEYER-OKIN,npv,npv,dry grass,S12T3din_013,21.9163,-24.6304
MEYER-OKIN,npv,litter,litter,s4t2ind_023,21.8174,-19.5293
MEYER-OKIN,npv,npv,dry grass,S13T1din_000,22.2607,-25.0681
SR,npv,UNKN-,UNKN-,SR0019_l2_15_npv,-120.041415,34.70294167
SR,npv,UNKN-,UNKN-,SR0019_l2_16_npv,-120.0413883,34.70296
MEYER-OKIN,npv,npv,stem,s3t3ind_015,22.0099,-19.0776
MEYER-OKIN,npv,npv,stem,s3t3ind_016,22.0099,-19.0776
MEYER-OKIN,npv,litter,litter,s4t1ind_001,21.8174,-19.5293
MEYER-OKIN,npv,litter,litter,s4t1ind_009,21.8174,-19.5293
MEYER-OKIN,npv,litter,litter,s4t1ind_010,21.8174,-19.5293
MEYER-OKIN,npv,npv,dry grass,S12T3ind_031,21.9163,-24.6304
MEYER-OKIN,npv,npv,dry grass,S12T3ind_030,21.9163,-24.6304
MEYER-OKIN,npv,npv,dry grass,S12T3ind_029,21.9163,-24.6304
MEYER-OKIN,npv,npv,boscia albitrunca stem,S12T3din_070,21.9163,-24.6304
MEYER-OKIN,npv,npv,boscia albitrunca stem,S12T3din_069,21.9163,-24.6304
MEYER-OKIN,npv,npv,boscia albitrunca stem,S12T3din_068,21.9163,-24.6304
MEYER-OKIN,npv,npv,leaf dry,s1t3ind_078,21.7716,-18.3886
MEYER-OKIN,npv,npv,boscia albitrunca stem,S12T3din_066,21.9163,-24.6304
MEYER-OKIN,npv,npv,dry grass,S12T3din_061,21.9163,-24.6304
MEYER-OKIN,npv,npv,dry grass,S4T1win_024,21.8174,-19.5293
MEYER-OKIN,npv,litter,litter ,S12T3din_049,21.9163,-24.6304
MEYER-OKIN,npv,litter,litter,S4T1win_092,21.8174,-19.5293
MEYER-OKIN,npv,litter,litter ,S12T3din_027,21.9163,-24.6304
MEYER-OKIN,npv,litter,litter ,S12T3din_026,21.9163,-24.6304
MEYER-OKIN,npv,litter,litter,s4t2ind_019,21.8174,-19.5293
MEYER-OKIN,npv,litter,stem,s4t2ind_029,21.8174,-19.5293
MEYER-OKIN,npv,npv,stem combretum,s1t1ind_020,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem combretum,s1t1ind_027,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem combretum,s1t1ind_028,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_026,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_025,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_024,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_013,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_012,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_011,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_010,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_009,21.7716,-18.3886
MEYER-OKIN,npv,npv,leaf dry,s1t2ind_008,21.7716,-18.3886
MEYER-OKIN,npv,npv,Combretum spp stem,S1T1wind_157,21.7716,-18.3886
MEYER-OKIN,npv,npv,Combretum spp stem,S1T1wind_156,21.7716,-18.3886
MEYER-OKIN,npv,npv,Combretum spp stem,S1T1wind_155,21.7716,-18.3886
MEYER-OKIN,npv,npv,Combretum spp stem,S1T1wind_154,21.7716,-18.3886
MEYER-OKIN,npv,npv,Combretum spp stem,S1T1wind_153,21.7716,-18.3886
MEYER-OKIN,npv,npv,Combretum spp stem,S1T1wind_152,21.7716,-18.3886
MEYER-OKIN,npv,npv,Combretum spp stem,S1T1wind_151,21.7716,-18.3886
MEYER-OKIN,npv,litter,Litter,S2T1win_063,21.8418,-18.6798
MEYER-OKIN,npv,npv,grass dry stems,s2t2ind_000,21.8418,-18.6798
MEYER-OKIN,npv,npv,grass dry stems,s2t2ind_001,21.8418,-18.6798
MEYER-OKIN,npv,npv,acacia literetsi stem,s2t2ind_018,21.8418,-18.6798
MEYER-OKIN,npv,npv,acacia literetsi stem,s2t2ind_019,21.8418,-18.6798
MEYER-OKIN,npv,npv,boscia albitrunca stem,s2t2ind_021,21.8418,-18.6798
MEYER-OKIN,npv,npv,acacia literetsi stem,s2t2ind_026,21.8418,-18.6798
MEYER-OKIN,npv,npv,stem,s1t2ind_027,21.7716,-18.3886
MEYER-OKIN,npv,npv,acacia literetsi stem,s2t2ind_033,21.8418,-18.6798
MEYER-OKIN,npv,npv,stem,s1t2ind_029,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_031,21.7716,-18.3886
MEYER-OKIN,npv,npv,leaf dry,s1t3ind_071,21.7716,-18.3886
MEYER-OKIN,npv,npv,leaf dry,s1t3ind_070,21.7716,-18.3886
MEYER-OKIN,npv,npv,leaf dry,s1t3ind_069,21.7716,-18.3886
MEYER-OKIN,npv,npv,leaf dry,s1t3ind_068,21.7716,-18.3886
MEYER-OKIN,npv,npv,grass dry stems,s2t1ind_021,21.8418,-18.6798
MEYER-OKIN,npv,npv,grass dry stems,s2t1ind_022,21.8418,-18.6798
MEYER-OKIN,npv,npv,grass dry stems,s2t1ind_023,21.8418,-18.6798
MEYER-OKIN,npv,npv,stem,s1t3ind_036,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t3ind_035,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_034,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_033,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_032,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_031,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_030,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_029,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_027,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_026,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_025,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem ptero,s1t3ind_024,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t3ind_020,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t3ind_019,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t3ind_018,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t3ind_017,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t2ind_030,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,S10T3din_052,21.6773,-23.6335
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_088,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_086,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_045,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_044,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_042,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_039,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_038,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_037,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_036,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_035,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_034,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_026,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_017,21.7716,-18.3886
MEYER-OKIN,npv,npv,Baikiaea plurijuga stem,S1T1wind_014,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t1ind_066,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,s1t1ind_060,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,s1t1ind_059,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,s1t1ind_056,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,s1t1ind_055,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,s1t1ind_054,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t1ind_052,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t1ind_051,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem terminalia,s1t1ind_050,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t1ind_040,21.7716,-18.3886
MEYER-OKIN,npv,npv,stem,s1t1ind_039,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,s3t1ind_044,22.0099,-19.0776
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_087,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_053,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_055,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_085,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_084,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_083,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_082,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_081,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_080,21.7716,-18.3886
MEYER-OKIN,npv,litter,dry grass,s3t1ind_003,22.0099,-19.0776
MEYER-OKIN,npv,litter,dry grass,s3t1ind_007,22.0099,-19.0776
MEYER-OKIN,npv,litter,dry grass,s3t1ind_009,22.0099,-19.0776
MEYER-OKIN,npv,npv,terminalia seretcea,s3t1ind_014,22.0099,-19.0776
MEYER-OKIN,npv,npv,terminalia seretcea,s3t1ind_015,22.0099,-19.0776
MEYER-OKIN,npv,npv,terminalia seretcea,s3t1ind_016,22.0099,-19.0776
MEYER-OKIN,npv,npv,terminalia seretcea,s3t1ind_017,22.0099,-19.0776
MEYER-OKIN,npv,litter,litter,S1T1wind_071,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,S1T1wind_070,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,S1T1wind_069,21.7716,-18.3886
MEYER-OKIN,npv,npv,terminalia seretcea,s3t1ind_033,22.0099,-19.0776
MEYER-OKIN,npv,litter,litter,s3t1ind_036,22.0099,-19.0776
MEYER-OKIN,npv,litter,litter,s3t1ind_037,22.0099,-19.0776
MEYER-OKIN,npv,litter,litter,s3t1ind_043,22.0099,-19.0776
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_058,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_057,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_056,21.7716,-18.3886
MEYER-OKIN,npv,npv,Burkea africana stem,S1T1wind_054,21.7716,-18.3886
MEYER-OKIN,npv,litter,litter,S10T3din_050,21.6773,-23.6335
MEYER-OKIN,npv,npv,boscia albitrunca stem,S12T3din_067,21.9163,-24.6304
MEYER-OKIN,npv,litter,litter,S8T1ind_011,21.6833,-21.7612
MEYER-OKIN,npv,litter,litter,S10T2ind_026,21.6773,-23.6335
MEYER-OKIN,npv,litter,litter,S10T2ind_027,21.6773,-23.6335
MEYER-OKIN,npv,litter,litter,S10T2ind_029,21.6773,-23.6335
MEYER-OKIN,npv,litter,litter,S10T2ind_030,21.6773,-23.6335
JORN,npv,,,JORN0007_l1_02_npv,-106.77337,32.57638167
SR,npv,UNKN-,UNKN-,SR0022_l1_16_npv,-120.0382333,34.70495833
SR,npv,UNKN-,UNKN-,SR0022_l1_13_npv,-120.03825,34.70494
SR,npv,UNKN-,UNKN-,SR0022_l1_12_npv,-120.0382517,34.70496167
SR,npv,UNKN-,UNKN-,SR0022_l1_11_npv,-120.038275,34.70493667
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_061,21.6773,-23.6335
MEYER-OKIN,npv,npv,dry grass,S10T1ind_060,21.6773,-23.6335
MEYER-OKIN,npv,npv,Ziziphus mucronata,S8T1ind_044,21.6833,-21.7612
MEYER-OKIN,npv,litter,litter,S8T2ind_046,21.6833,-21.7612
MEYER-OKIN,npv,npv,Terminalia sericea stem,S9T1ind_020,21.8327,-22.3542
MEYER-OKIN,npv,npv,Terminalia sericea stem,S9T1ind_019,21.8327,-22.3542
SR,npv,UNKN-,UNKN-,SR0022_l1_09_npv,-120.0382717,34.70492333
MEYER-OKIN,npv,npv,Boscia albitrunca stem,S9T1ind_004,21.8327,-22.3542
SR,npv,UNKN-,UNKN-,SR0022_l1_03_npv,-120.0383267,34.704975
MEYER-OKIN,npv,npv,Combretum hereroense leaf dry,S9T1din_044,21.8327,-22.3542
SR,npv,UNKN-,UNKN-,SR0033_l1_14_npv,-120.0339267,34.68656667
SR,npv,UNKN-,UNKN-,SR0033_l1_13_npv,-120.0339083,34.68657667
SR,npv,UNKN-,UNKN-,SR0033_l1_12_npv,-120.0338917,34.686515
SR,npv,UNKN-,UNKN-,SR0033_l1_11_npv,-120.0338783,34.68654167
SR,npv,UNKN-,UNKN-,SR0021_l1_06_npv,-120.0416,34.703455
SR,npv,UNKN-,UNKN-,SR0033_l1_10_npv,-120.0339367,34.68659667
SR,npv,UNKN-,UNKN-,SR0022_l1_02_npv,-120.03828,34.70499
MEYER-OKIN,npv,npv,dry grass,S10T2ind_046,21.6773,-23.6335
MEYER-OKIN,npv,npv,dry grass,S10T2ind_047,21.6773,-23.6335
MEYER-OKIN,npv,npv,dry grass,S10T2ind_048,21.6773,-23.6335
MEYER-OKIN,npv,litter,litter,S10T2ind_025,21.6773,-23.6335
MEYER-OKIN,npv,npv,dry grass,S10T2ind_049,21.6773,-23.6335
MEYER-OKIN,npv,litter,litter,S10T2ind_022,21.6773,-23.6335
MEYER-OKIN,npv,litter,litter,S8T1ind_009,21.6833,-21.7612
SR,npv,UNKN-,UNKN-,SR0034_l1_06_npv,-120.03483,34.68668667
SR,npv,UNKN-,UNKN-,SR0034_l1_04_npv,-120.0348717,34.686685
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_070,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_071,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_072,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_073,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_074,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_075,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_069,21.6773,-23.6335
SR,npv,UNKN-,UNKN-,SR0047_l1_02_npv,-120.0381483,34.699415
MEYER-OKIN,npv,npv,Ziziphus mucronata,S8T1ind_043,21.6833,-21.7612
MEYER-OKIN,npv,npv,Combretum hereroense,S8T1ind_037,21.6833,-21.7612
SR,npv,UNKN-,UNKN-,SR0047_l1_03_npv,-120.03819,34.69941167
MEYER-OKIN,npv,npv,Combretum hereroense,S8T1ind_036,21.6833,-21.7612
MEYER-OKIN,npv,npv,Combretum hereroense,S8T1ind_035,21.6833,-21.7612
SR,npv,AVENFATU,AVENFATU,SR0047_l1_06_npv,-120.0383483,34.69929
SR,npv,AVENFATU,AVENFATU,SR0047_l1_07_npv,-120.0384183,34.69927167
MEYER-OKIN,npv,npv,Combretum hereroense,S8T1ind_034,21.6833,-21.7612
MEYER-OKIN,npv,npv,Combretum hereroense,S8T1ind_033,21.6833,-21.7612
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_068,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_067,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_066,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_065,21.6773,-23.6335
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_063,21.6773,-23.6335
SR,npv,UNKN-,UNKN-,SR0034_l2_09_npv,-120.0348817,34.68672167
MEYER-OKIN,npv,litter,burned grass tuff,S10T1ind_062,21.6773,-23.6335
SR,npv,UNKN-,UNKN-,SR0034_l2_07_npv,-120.0349233,34.68669333
JORN,npv,,,JORN0007_l1_01_npv,-106.773285,32.57645833
MEYER-OKIN,npv,litter,litter,S8T1ind_010,21.6833,-21.7612
MEYER-OKIN,npv,litter,litter,S8T1ind_008,21.6833,-21.7612
MEYER-OKIN,npv,npv,dry grass,S10T2ind_050,21.6773,-23.6335
SR,npv,UNKN-,UNKN-,SR0034_l1_10_npv,-120.03483,34.68663333
MEYER-OKIN,npv,litter,litter,S9T1din_026,21.8327,-22.3542
MEYER-OKIN,npv,litter,litter,S10T3din_029,21.6773,-23.6335
MEYER-OKIN,npv,npv,dry grass,S10T3din_032,21.6773,-23.6335
MEYER-OKIN,npv,npv,dry grass,S10T3din_033,21.6773,-23.6335
DP,npv,UNKN-,UNKN-,DP0033_l1_01_npv,-120.398965,34.52641
MEYER-OKIN,npv,npv,acacia erioloba stem,S10T1ind_021,21.6773,-23.6335
DP,npv,,,DP0032_l1_14_npv,-120.4579,34.53748833
DP,npv,,,DP0032_l1_13_npv,-120.4578983,34.53748167
DP,npv,,,DP0032_l1_11_npv,-120.4579017,34.53745
SR,npv,UNKN-,UNKN-,SR0022_l2_01_npv,-120.03824,34.704885
DP,npv,,,DP0032_l2_13_npv,-120.4578783,34.53755833
DP,npv,,,DP0032_l2_11_npv,-120.4578417,34.53755333
DP,npv,,,DP0032_l2_09_npv,-120.4577783,34.53751333
SR,npv,UNKN-,UNKN-,SR0022_l2_04_npv,-120.0382767,34.70489
SR,npv,UNKN-,UNKN-,SR0022_l2_06_npv,-120.0382583,34.70490833
MEYER-OKIN,npv,npv,combretum hereroense stem,S8T3ind_055,21.6833,-21.7612
SR,npv,UNKN-,UNKN-,SR0022_l2_09_npv,-120.03827,34.70490833
MEYER-OKIN,npv,litter,litter,S10T1ind_009,21.6773,-23.6335
SR,npv,UNKN-,UNKN-,SR0022_l2_12_npv,-120.0383133,34.70493333
MEYER-OKIN,npv,npv,dry grass,S10T3din_039,21.6773,-23.6335
SR,npv,UNKN-,UNKN-,SR0026_l1_02_npv,-120.0509717,34.69239667
SR,npv,UNKN-,UNKN-,SR0021_l2_03_npv,-120.0415083,34.70342667
SR,npv,UNKN-,UNKN-,SR0021_l2_00_npv,-120.04152,34.703465
SR,npv,UNKN-,UNKN-,SR0021_l1_17_npv,-120.0415933,34.70336833
SR,npv,UNKN-,UNKN-,SR0021_l1_16_npv,-120.0415867,34.70341
SR,npv,UNKN-,UNKN-,SR0021_l1_15_npv,-120.0415633,34.70338833
MEYER-OKIN,npv,npv,terminalia sericea stem,S8T3ind_053,21.6833,-21.7612
MEYER-OKIN,npv,npv,combretum hereroense stem,S8T3ind_054,21.6833,-21.7612
SR,npv,UNKN-,UNKN-,SR0021_l1_12_npv,-120.0415883,34.70341333
SR,npv,UNKN-,UNKN-,SR0021_l1_10_npv,-120.0415667,34.70342333
DP,npv,UNKN-,UNKN-,DP0033_l1_05_npv,-120.3990117,34.526365
SR,npv,UNKN-,UNKN-,SR0021_l2_05_npv,-120.0415433,34.70344667
MEYER-OKIN,npv,npv,acacia erioloba stem,S10T1ind_022,21.6773,-23.6335
MEYER-OKIN,npv,npv,acacia erioloba stem,S10T1ind_023,21.6773,-23.6335
JORN,npv,UNKN-,UNKN-,JORN0007_l3_01_npv,-106.7740167,32.57603167
JORN,npv,UNKN-,UNKN-,JORN0007_l3_04_npv,-106.7738883,32.57602833
MEYER-OKIN,npv,npv,acacia luederitzii stem,S9T1din_014,21.8327,-22.3542
MEYER-OKIN,npv,npv,acacia luederitzii stem,S9T1din_013,21.8327,-22.3542
