Site ID1,Sensor,"Lat, Long",SLPIT Date,Overpass Date,Day Difference3
SPEC - 001,EMIT,"35.3748, -116.1116",3/11/23,2023-06-09 t170947,-90
SPEC - 002,EMIT,"35.3743, -116.1105",3/11/23,2023-06-09 t170947,-90
SPEC - 003,EMIT,"32.1915, -113.3387",3/24/23,2023-04-15 t222555,-22
SPEC - 004,EMIT,"29.5783, -102.9191",3/31/23,2023-03-24 t221318,7
SPEC - 005,EMIT,"29.5774, -102.9191",3/31/23,2023-03-24 t221318,7
SPEC - 006,EMIT,"36.3344, -117.7134",4/8/23,2023-04-05 t190359,3
SPEC - 007,EMIT,"36.3335, -117.7138",4/8/23,2023-04-05 t190359,3
SPEC - 008,EMIT,"36.3338, -117.7122",4/8/23,2023-04-05 t190359,3
SPEC - 009,EMIT,"35.9612, -117.9217",4/15/23,2023-04-15 t222444,0
SPEC - 010,EMIT,"35.9618, -117.9226",4/15/23,2023-04-15 t222444,0
SPEC - 011,EMIT,"35.9620, -117.9208",4/15/23,2023-04-15 t222444,0
SPEC - 012,EMIT,"31.9582, -106.9516",4/22/23,2023-04-16 t213858,6
SPEC - 013,EMIT,"31.9566, -106.9519",4/22/23,2023-04-16 t213858,6
SPEC - 014,EMIT,"34.6927, -120.0343",4/29/23,2023-04-26 t182152,3
SPEC - 015,EMIT,"34.6933, -120.0338",4/29/23,2023-04-26 t182152,3
SPEC - 016,EMIT,"34.6939, -120.0332",4/29/23,2023-04-26 t182152,3
SPEC - 017,EMIT,"37.4069, -117.9777",5/12/23,2023-04-23 t191045,19
SPEC - 018,EMIT,"37.4082, -117.9767",5/12/23,2023-04-23 t191045,19
SPEC - 019,EMIT,"37.0176, -118.2550",5/13/23,2023-04-23 t191045,20
SPEC - 020,EMIT,"37.0174, -118.2535",5/13/23,2023-04-23 t191045,20
SPEC - 021,EMIT,"36.1514, -117.9831",6/3/23,2023-05-28 t220455,6
SPEC - 022,EMIT,"32.5824, -106.6826",7/12/23,2023-06-27 t170824,15
SPEC - 023,EMIT,"32.5710, -106.7710",7/29/23,2023-06-27 t170824,32
SPEC - 024,EMIT,"32.5701, -106.7725",7/29/23,2023-06-27 t170824,32
SPEC - 025,EMIT,"32.6503, -106.7586",8/3/23,2023-07-30 t200611,4
SPEC - 026,EMIT,"32.6014, -106.7127",8/3/23,2023-06-27 t170824,37
SPEC - 027,EMIT,"32.5788, -106.7749",8/5/23,2023-07-30 t200611,6
SPEC - 028,EMIT,"32.5754, -106.7739",8/5/23,2023-07-30 t200611,6
SPEC - 029,EMIT,"32.6932, -106.7824",8/10/23,2023-07-30 t200611,11
SPEC - 030,EMIT,"40.4781, -118.3336",8/22/23,2023-08-07 t182831,15
SPEC - 031,EMIT,"40.4759, -118.3326",8/22/23,2023-08-07 t182831,15
SPEC - 032,EMIT,"40.4787, -118.3311",8/23/23,2023-08-07 t182831,16
SPEC - 033,EMIT,"40.4766, -118.3301",8/23/23,2023-08-07 t182831,16
SPEC - 034,EMIT,"40.5137, -118.3382",8/24/23,2023-08-07 t182831,17
SPEC - 035,EMIT,"36.1514, -117.9831",8/25/23,2023-08-08 t173929,17
SPEC - 036,EMIT,"36.1530, -117.9830",8/25/23,2023-08-08 t173929,17
SPEC - 037,EMIT,"36.1531, -117.9816",8/25/23,2023-08-08 t173929,17
SPEC - 038,EMIT,"35.9835, -117.9068",8/26/23,2023-06-22 t193300,65
SPEC - 039,EMIT,"32.6054, -106.7187",9/18/23,2023-08-31 t152735,18
SPEC - 040,EMIT,"32.5753, -106.7738",9/19/23,2023-08-31 t152735,19
SPEC - 041,EMIT,"32.5702, -106.7727",9/19/23,2023-08-31 t152735,19
SPEC - 042,EMIT,"32.5639, -106.7789",9/20/23,2023-08-31 t152735,20
SPEC - 043,EMIT,"32.5658, -106.7746",9/20/23,2023-08-31 t152735,20
SPEC - 044,EMIT,"32.0103, -106.5180",9/22/23,2023-08-31 t152747,22
SPEC - 045,EMIT,"34.6927, -120.0342",9/29/23,2023-09-27 t214531,2
SPEC - 046,EMIT,"34.6933, -120.0338",9/29/23,2023-09-27 t214531,2
SPEC - 047,EMIT,"34.6939, -120.0332",9/29/23,2023-09-27 t214531,2
SPEC - 048,EMIT,"34.6971, -120.0309",10/4/23,2023-09-27 t214531,7
SPEC - 049,EMIT,"34.6988, -120.0295",10/4/23,2023-09-27 t214531,7
SPEC - 050,EMIT,"34.7402, -120.0279",10/5/23,2023-09-27 t214531,8
SPEC - 051,EMIT,"34.7408, -120.0253",10/6/23,2023-09-27 t214531,9
SPEC - 052,EMIT,"34.7044, -120.0376",10/8/23,2023-09-27 t214531,11
SPEC - 053,EMIT,"34.7000, -120.0378",10/8/23,2023-09-27 t214531,11
SPEC - 054,EMIT,"34.6959, -120.0402",10/10/23,2023-10-18 t210217,-8
SPEC - 055,EMIT,"34.6895, -120.0392",10/11/23,2023-10-18 t210217,-7
SPEC - 056,EMIT,"34.5281, -120.4152",10/19/23,2023-10-14 t224006,5
SPEC - 057,EMIT,"34.4975, -120.4922",10/20/23,2023-10-14 t224006,6
SPEC - 058,EMIT,"34.5211, -120.4586",10/24/23,2023-10-14 t224006,10
SPEC - 059,EMIT,"36.7235, -105.6829",11/14/23,2023-10-17 t201616,28
SPEC - 060,EMIT,"36.7216, -105.6823",11/14/23,2023-10-17 t201616,28
DPA-004_FALL,AVIRISNG,"34.4985, -120.4907",9/17/22,2022-09-15 t195816,2
DPB-003_FALL,AVIRISNG,"34.4993, -120.4921",9/17/22,2022-09-15 t195816,2
DPB-004_FALL,AVIRISNG,"34.4972, -120.4912",9/17/22,2022-09-15 t200714,2
DPB-005_FALL,AVIRISNG,"34.4972, -120.4900",9/17/22,2022-09-15 t195816,2
DPB-020_SPRING,AVIRISNG,"34.5264, -120.3990",3/24/22,2022-03-22 t204749,2
DPB-027_SPRING,AVIRISNG,"34.5375, -120.4578",4/14/22,2022-04-12 t205405,2
SRA-007_FALL,AVIRISNG,"34.6929, -120.0339",9/16/22,2022-09-14 t184300,2
SRA-008_FALL,AVIRISNG,"34.7430, -119.9851",9/16/22,2022-09-14 t184300,2
SRA-019_SPRING,AVIRISNG,"34.7428, -119.9847",3/10/22,2022-03-08 t204043,2
SRA-020_SPRING,AVIRISNG,"34.7029, -120.0414",3/10/22,2022-03-08 t205512,2
SRA-021_SPRING,AVIRISNG,"34.7033, -120.0423",3/10/22,2022-03-08 t204043,2
SRA-033_SPRING,AVIRISNG,"34.7049, -120.0383",3/18/22,2022-03-16 t210303,2
SRA-034_SPRING,AVIRISNG,"34.6866, -120.0340",3/18/22,2022-03-16 t210303,2
SRA-056_FALL,AVIRISNG,"34.6867, -120.0349",9/16/22,2022-09-14 t184300,2
SRA-109_SPRING,AVIRISNG,"34.7419, -119.9855",5/13/22,2022-05-11 t190344,2
SRB-010_FALL,AVIRISNG,"34.7054, -120.0379",9/15/22,2022-09-15 t203517,0
SRB-021_SPRING,AVIRISNG,"34.7424, -119.9840",3/10/22,2022-03-08 t205512,2
SRB-026_SPRING,AVIRISNG,"34.6990, -120.0373",3/11/22,2022-03-08 t204043,3
SRB-045_FALL,AVIRISNG,"34.7034, -120.0416",9/15/22,2022-09-15 t203517,0
SRB-046_FALL,AVIRISNG,"34.6924, -120.0510",9/15/22,2022-09-15 t203517,0
SRB-047_SPRING,AVIRISNG,,4/7/22,2022-04-05 t201359,2
SRB-050_FALL,AVIRISNG,,9/16/22,2022-09-14 t184300,2
SRB-084_SPRING,AVIRISNG,"34.7001, -120.0369",5/13/22,2022-05-11 t191813,2
SRB-100_FALL,AVIRISNG,"34.6997, -120.0369",9/15/22,2022-09-15 t203517,0
